model,data,CE_bias,CE_RMSE,CE_coverage,CE_p,RMSE_1_42,RMSE_38_42,cover_1_42,cover_38_42,file
ns (best AIC),carry forward,-0.10807259203163291,3.0120631208335413,94.25,0.7807197868475685,2.0661769601237907,1.6879413746827456,80.99166666666666,90.98,final_table_scenarioB_GAcontrolFALSE.csv
ns (best AIC),mean-filled,-0.09054075460717044,3.0347244290053697,94.75,0.8162675022759338,2.3278165371757664,3.0526618736172693,81.75,91.85,final_table_scenarioB_GAcontrolFALSE.csv
ns (best AIC),natural through week 42,0.02848311018903922,3.1299544256731537,95.1,0.942623241729027,2.112064507277083,1.9945118467934373,81.075,91.75,final_table_scenarioB_GAcontrolFALSE.csv
ns (best AIC),truncated at week 37,0.0671103062243517,2.93936188006143,94.2,0.8610864757268288,2.089062714913792,NA,81.7945945945946,NA,final_table_scenarioB_GAcontrolFALSE.csv
ns (best AIC),zero-filled,23.400133307752046,8.46440628997865,71.89999999999999,0,2.9234361547373715,5.997438518707215,66.71071428571429,9.28,final_table_scenarioB_GAcontrolFALSE.csv
ns (best AIC),carry forward,0.00580322941800242,2.9002909374649017,94.4,0.9878458576835232,2.044881948831496,1.6647162887678244,80.80238095238094,90.85,final_table_scenarioB_GAcontrolTRUE.csv
ns (best AIC),mean-filled,-0.02274734784173291,2.9259323852963988,95.1,0.9525937936706516,2.2961965758445757,2.987928577815879,81.86428571428571,92.32,final_table_scenarioB_GAcontrolTRUE.csv
ns (best AIC),natural through week 42,0.12437041130754,3.032650850416993,95.1,0.7495187846070628,2.0866623176105445,1.9719144669999664,81.0702380952381,91.71,final_table_scenarioB_GAcontrolTRUE.csv
ns (best AIC),truncated at week 37,0.1477387680892198,2.8217387742477316,94.75,0.6941831075526306,2.0595212566161853,NA,81.86756756756756,NA,final_table_scenarioB_GAcontrolTRUE.csv
ns (best AIC),zero-filled,-0.1533142391480192,4.40903271393571,94.45,0.7441111888905163,2.2917582897272877,3.084085141261994,81.55714285714286,92.51,final_table_scenarioB_GAcontrolTRUE.csv
